// These data were taken by Carmen Barbiel and Detlef Diesing
// January, 22th, 2021 in the lab course cell with a gold wire
// and a Pt wire as counter electrode. 
//Reference is Pt wire in same solution in H2 gas.
// solution is 0.1 N H2/SO4
// Potentiostat is HEKA PG 510 with CR 1mA, CF 10 BW 30 
// The oscilloscope is set to 0.04 sec delta t 
// You should get as a scan rate 0.05 V per second
// But check it.
// These data were smoothed with smoothing grade of 111 by Igor Pro



potential_section_smth,current_section_smth
-0.1574402370132311,-0.0001361133360604104
-0.1592746680459387,-0.000136682682525541
-0.1611149929639527,-0.0001371985520842317
-0.1629606574486585,-0.000137661148133602
-0.1648108212514501,-0.0001380725129852517
-0.1666644251928273,-0.0001384363657636365
-0.1685202705792938,-0.0001387578538754274
-0.1703771038778915,-0.0001390432380555282
-0.1722337005212668,-0.0001392995354325986
-0.174088943172503,-0.0001395341473414471
-0.1759418911788278,-0.0001397544986788765
-0.1777918389339289,-0.0001399677135551105
-0.1796383612981653,-0.0001401803480888628
-0.1814813441726134,-0.000140398195795481
-0.183320998045581,-0.0001406261745853532
-0.1851578522044038,-0.0001408682974660523
-0.1869927276770976,-0.0001411277222124163
-0.1888266880669743,-0.0001414068691220891
-0.1906609692831,-0.000141707591060087
-0.1924968915176202,-0.0001420313767518969
