// These data were taken by Carmen Barbiel and Detlef Diesing
// January, 22th, 2021 in the lab course cell with a gold wire
// and a Pt wire as counter electrode. 
//Reference is Pt wire in same solution in H2 gas.
// solution is 0.1 N H2/SO4
// Potentiostat is HEKA PG 510 with CR 1mA, CF 10 BW 30 
// The oscilloscope is set to 0.04 sec delta t 
// You should get as a scan rate 0.05 V per second
// But check it.



potential,current
-0.023345947,-6.2591553e-05
-0.023269653,-6.243896500000001e-05
-0.023040771,-6.094360399999999e-05
-0.023269653,-6.1248779e-05
-0.020294189,-6.173706100000001e-05
-0.014343262,-6.018066399999999e-05
-0.011978149,-5.9570313e-05
-0.008163452099999999,-5.8959961e-05
-0.0064849854,-5.8441162e-05
-0.0068664551,-5.688476599999999e-05
-0.0074768066,-5.5114746e-05
-0.008392334,-5.4382324e-05
-0.0012969971,-5.4046631e-05
0.0021362305,-5.267334e-05
0.0088500977,-5.2337646e-05
0.010070801,-5.0537109e-05
0.0062561035,-5.0720215e-05
0.0033569336,-4.9591064e-05
0.002746582,-4.8400879e-05
0.01121521,-4.7821045e-05
0.015563965,-4.6875e-05
0.019607544,-4.5654297e-05
0.021972656,-4.4342041e-05
0.023269653,-4.449462900000001e-05
0.019302368,-4.2327881e-05
0.021438599,-4.1473389e-05
0.020065308,-4.0771484e-05
0.025253296,-3.9459229e-05
0.029754639,-3.817749e-05
0.033340454,-3.7719727e-05
0.034637451,-3.6834717e-05
0.035247803,-3.616333e-05
0.03112793,-3.5827637e-05
0.037078857,-3.4240723e-05
0.03616333,-3.4790039e-05
0.043106079,-3.2287598e-05
0.046310425,-3.1860352e-05
0.049819946,-3.213501e-05
0.049362183,-3.0426025e-05
0.050354004,-2.9541016e-05
0.051651001,-2.8045654e-05
0.05241394,-2.7191162e-05
0.050964355,-2.7404785e-05
0.053710938,-2.62146e-05
0.059509277,-2.5756836e-05
0.062561035,-2.5756836e-05
0.069274902,-2.4719238e-05
0.071182251,-2.3803711e-05
0.067367554,-2.2369385e-05
0.064697266,-2.1881104e-05
0.06652832,-2.1942139e-05
0.072860718,-2.1026611e-05
0.07919311499999999,-2.0721436e-05
